"Date","Building","Strategy","MAPE"
2013-10-28,"JKP","VFD",0.112692450537112
2013-11-01,"JKP","VFD",0.122489079353901
2013-02-25,"KAP","GTR",0.0628968121748615
2013-02-27,"KAP","GTR",0.029300133813462
2013-03-01,"KAP","GTR",0.0326124471788917
2013-03-04,"KAP","VFD",0.065829279308039
2013-03-06,"KAP","VFD",0.0882257950286329
2013-03-08,"KAP","VFD",0.124929222039449
2013-03-12,"KAP","VFD",0.120840924085091
2013-03-20,"KAP","GTR & VFD",0.132422175953268
2013-03-22,"KAP","GTR & VFD",0.115883486154315
2013-03-26,"KAP","GTR & VFD",0.0883309815788546
2013-03-28,"KAP","GTR & VFD",0.282856639885386
2013-04-01,"KAP","GTR",0.0669560329118396
2013-04-03,"KAP","GTR",0.0673374414281621
2013-04-05,"KAP","GTR",0.168846716522478
2013-04-09,"KAP","GTR",0.0373189334317387
2013-04-11,"KAP","GTR",0.0226566557350295
2013-09-26,"KAP","VFD",0.207098165903361
2013-10-22,"KAP","GTR",0.063779476866875
2013-10-24,"KAP","GTR",0.101370929482156
2013-10-28,"KAP","VFD",0.127746955803321
2013-11-01,"KAP","VFD",0.0820701055744234
2013-11-05,"KAP","VFD",0.121820651334815
2013-11-07,"KAP","VFD",0.0804106472005751
2013-11-11,"KAP","GTR & VFD",0.0872334410396507
2013-11-13,"KAP","GTR & VFD",0.0861508428531061
2013-11-15,"KAP","GTR & VFD",0.194257467434309
2013-11-19,"KAP","GTR & VFD",0.129513750743748
2013-11-21,"KAP","GTR & VFD",0.0786155526624982
2013-12-02,"KAP","GTR",0.0351841486204853
2013-12-04,"KAP","GTR",0.0637579062892661
2013-12-06,"KAP","GTR",0.0599342472159022
2013-03-18,"LAW","VFD",0.139063471856561
2013-03-20,"LAW","VFD",0.10876914217651
2013-03-22,"LAW","VFD",0.048168350742647
2013-03-26,"LAW","VFD",0.0567853488738714
2013-03-28,"LAW","VFD",0.0471258933349756
2013-10-22,"LAW","VFD",0.0215402909596035
2013-10-24,"LAW","VFD",0.0193941784504125
2013-10-28,"LAW","VFD",0.0248914760792143
2013-11-01,"LAW","VFD",0.0293640686442029
2013-04-05,"LRC","VFD",0.287309554736329
2013-04-09,"LRC","VFD",0.0819810611133954
2013-04-11,"LRC","VFD",0.0671441011826363
2013-04-15,"LRC","DUTY",0.253779489416406
2013-04-17,"LRC","DUTY",0.222361483140869
2013-04-19,"LRC","DUTY",0.140365329346604
2013-04-23,"LRC","DUTY",0.148991275657453
2013-04-25,"LRC","DUTY",0.207073498048832
2013-05-20,"LRC","GTR & VFD",0.0271984419167512
2013-05-22,"LRC","GTR & VFD",0.0512152414621796
2013-05-24,"LRC","GTR & VFD",0.0995902764261714
2013-05-28,"LRC","GTR & VFD",0.0517543787632705
2013-05-30,"LRC","GTR & VFD",0.046777626480993
2013-06-03,"LRC","GTR & DUTY",0.264037130895263
2013-06-05,"LRC","GTR & DUTY",0.138743685031415
2013-06-07,"LRC","GTR & DUTY",0.195626119759732
2013-06-09,"LRC","GTR & VFD",0.309307177841688
2013-06-10,"LRC","VFD & DUTY",0.114218942212258
2013-06-12,"LRC","VFD & DUTY",0.115539975102055
2013-06-14,"LRC","VFD & DUTY",0.145716610682393
2013-06-18,"LRC","VFD & DUTY",0.299882751307469
2013-06-20,"LRC","VFD & DUTY",0.20710983460565
2013-06-24,"LRC","GTR & VFD & DUTY",0.145603118679072
2013-06-26,"LRC","GTR & VFD & DUTY",0.195559774802053
2013-06-28,"LRC","GTR & VFD & DUTY",0.111465322602838
2013-07-09,"LRC","GTR & VFD & DUTY",0.193797205715881
2013-07-11,"LRC","GTR & VFD & DUTY",0.128769807057588
2013-10-22,"LRC","GTR",0.3902017884201
2013-10-24,"LRC","GTR",0.260360086965841
2013-10-28,"LRC","VFD",0.0897773574827867
2013-11-01,"LRC","VFD",0.0741223083482202
2013-11-13,"LRC","DUTY",0.238029247331155
2013-12-02,"LRC","GTR & VFD",0.103017084164466
2013-12-06,"LRC","GTR & VFD",0.216527552427407
2013-03-18,"LVL","GTR",0.0499552258546046
2013-03-20,"LVL","GTR",0.0462346605546068
2013-03-22,"LVL","GTR",0.0325064336512535
2013-03-26,"LVL","GTR",0.0427337917925657
2013-03-28,"LVL","GTR",0.0270289381483729
2013-05-20,"LVL","VFD",0.297807335843651
2013-05-22,"LVL","VFD",0.171741075255594
2013-05-24,"LVL","VFD",0.102023368719728
2013-05-28,"LVL","VFD",0.192271089600583
2013-05-30,"LVL","VFD",0.177288228318517
2013-06-03,"LVL","GTR & VFD",0.0956567223766152
2013-06-05,"LVL","GTR & VFD",0.0266447268310771
2013-06-07,"LVL","GTR & VFD",0.231482487874905
2013-06-11,"LVL","GTR & VFD",0.232609484044075
2013-06-13,"LVL","GTR & VFD",0.0416675213588737
2013-10-22,"LVL","GTR",0.0809667928597389
2013-10-24,"LVL","GTR",0.0559214695174152
2013-10-28,"LVL","VFD",0.123675468527706
2013-11-01,"LVL","VFD",0.157694394424349
2013-11-05,"LVL","VFD",0.0511773855063357
2013-11-07,"LVL","VFD",0.223668524698084
2013-11-11,"LVL","GTR & VFD",0.051134471546942
2013-11-13,"LVL","GTR & VFD",0.141503098756187
2013-11-15,"LVL","GTR & VFD",0.0593390187314378
2013-11-19,"LVL","GTR & VFD",0.0489890849470621
2013-11-21,"LVL","GTR & VFD",0.141650183885708
2013-12-02,"LVL","GTR",0.0411380579925243
2013-12-04,"LVL","GTR",0.120248081864159
2013-12-06,"LVL","GTR",0.10537223305821
2012-11-26,"MHP","DUTY",0.0484276791146254
2012-11-30,"MHP","DUTY",0.0535761776474032
2012-12-04,"MHP","DUTY",0.0338967389134895
2012-12-06,"MHP","DUTY",0.0938895245086933
2013-03-18,"MHP","DUTY",0.202603250767522
2013-03-20,"MHP","DUTY",0.105829016467793
2013-03-22,"MHP","DUTY",0.217650874797278
2013-03-26,"MHP","DUTY",0.0793084224831153
2013-03-28,"MHP","DUTY",0.0438655752988399
2013-10-22,"MHP","DUTY",0.0601523837541129
2013-10-24,"MHP","DUTY",0.0598377623181603
2013-10-28,"MHP","DUTY",0.0482174707422833
2013-11-01,"MHP","DUTY",0.042381499438522
2012-11-26,"MRF","VFD",0.110914875157465
2012-11-30,"MRF","VFD",0.049070369582901
2012-12-04,"MRF","VFD",0.0702460352890604
2012-12-06,"MRF","VFD",0.0777432318927967
2013-03-04,"MRF","VFD",0.15807099411004
2013-03-06,"MRF","VFD",0.121028215334775
2013-03-08,"MRF","VFD",0.143743626824811
2013-03-12,"MRF","VFD",1.03235968423818
2013-10-22,"MRF","VFD",0.0474838158787809
2013-10-24,"MRF","VFD",0.0921075296687848
2013-10-28,"MRF","VFD",0.132203119929605
2013-11-01,"MRF","VFD",0.0693833903086877
2013-03-20,"OHE","GTR",0.206840582084727
2013-03-22,"OHE","GTR",0.192944307339287
2013-03-26,"OHE","GTR",0.0861410697791628
2013-03-28,"OHE","GTR",0.223704274962058
2013-04-01,"OHE","VFD",0.0516942267717069
2013-04-03,"OHE","VFD",0.0339301784965417
2013-04-05,"OHE","VFD",0.0732957893190922
2013-04-09,"OHE","VFD",0.036692095373169
2013-04-11,"OHE","VFD",0.0531434644353176
2013-04-15,"OHE","GTR & VFD",0.0890807315473953
2013-04-17,"OHE","GTR & VFD",0.0861841600948735
2013-04-19,"OHE","GTR & VFD",0.0623381509738011
2013-04-23,"OHE","GTR & VFD",0.0275199374830124
2013-04-25,"OHE","GTR & VFD",0.0271575267915069
2013-09-23,"OHE","GTR",0.105413290141128
2013-10-22,"OHE","GTR",0.121589944201985
2013-10-24,"OHE","GTR",0.0939195966708043
2013-10-28,"OHE","VFD",0.0404095647544359
2013-11-01,"OHE","VFD",0.0255981189281562
2013-11-05,"OHE","VFD",0.0408513451256834
2013-11-07,"OHE","VFD",0.0408740752389892
2013-11-11,"OHE","GTR & VFD",0.0313814593958573
2013-11-13,"OHE","GTR & VFD",0.042034161707026
2013-11-15,"OHE","GTR & VFD",0.051195415281791
2013-11-19,"OHE","GTR & VFD",0.0360284717774678
2013-11-21,"OHE","GTR & VFD",0.0427648817780912
2013-12-02,"OHE","GTR",0.119946050125099
2013-12-04,"OHE","GTR",0.100293091003854
2013-12-06,"OHE","GTR",0.102073250913006
2013-03-18,"SAL","VFD",0.0445001522764393
2013-03-20,"SAL","VFD",0.0758919645762938
2013-03-22,"SAL","VFD",0.0173637924715911
2013-03-26,"SAL","VFD",0.0285064521947586
2013-03-28,"SAL","VFD",0.0713363970809602
2013-04-01,"SAL","DUTY",0.018553210912315
2013-04-03,"SAL","DUTY",0.0226660818530502
2013-04-05,"SAL","DUTY",0.0198333774874349
2013-04-09,"SAL","DUTY",0.028078686696718
2013-04-11,"SAL","DUTY",0.0287319823156753
2013-04-15,"SAL","VFD & DUTY",0.050734413635023
2013-04-17,"SAL","VFD & DUTY",0.018170728948118
2013-04-19,"SAL","VFD & DUTY",0.0155108499025686
2013-04-23,"SAL","VFD & DUTY",0.0430828433405455
2013-04-25,"SAL","VFD & DUTY",0.0172510176824967
2013-10-22,"SAL","VFD",0.0613074368275844
2013-10-24,"SAL","VFD",0.0388216132846275
2013-10-28,"SAL","DUTY",0.0287650648499288
2013-11-01,"SAL","DUTY",0.0491912929258762
2013-11-05,"SAL","DUTY",0.0342841918450834
2013-11-07,"SAL","DUTY",0.0342447238314403
2013-11-11,"SAL","VFD & DUTY",0.0359636718305955
2013-11-13,"SAL","VFD & DUTY",0.0235275814848459
2013-11-15,"SAL","VFD & DUTY",0.0359635843039258
2013-11-19,"SAL","VFD & DUTY",0.021322635330608
2013-11-21,"SAL","VFD & DUTY",0.0173729405891418
2013-12-02,"SAL","VFD",0.043470536213748
2013-12-04,"SAL","VFD",0.0380786658778542
2013-12-06,"SAL","VFD",0.0470843911919352
2012-11-26,"SCB","GTR",0.0747229346306679
2012-11-30,"SCB","GTR",0.0595419714980596
2012-12-04,"SCB","GTR",0.0738564148223039
2012-12-06,"SCB","GTR",0.0417474108820466
2012-12-10,"SCB","VFD",0.158965857713484
2012-12-14,"SCB","VFD",0.0383624349896978
2013-01-15,"SCB","VFD",0.106310873959478
2013-01-17,"SCB","VFD",0.197802944474432
2013-01-23,"SCB","GTR & VFD",0.0927756278587454
2013-01-25,"SCB","GTR & VFD",0.250661696299274
2013-01-29,"SCB","GTR & VFD",0.178242375776099
2013-01-31,"SCB","GTR & VFD",0.125601555134549
2013-02-04,"SCB","GTR & VFD",0.175912714547335
2013-03-04,"SCB","GTR",0.0292233573710609
2013-03-06,"SCB","GTR",0.0695343853558517
2013-03-08,"SCB","GTR",0.0966248423635531
2013-03-12,"SCB","GTR",0.36769272173489
2013-03-18,"SCB","VFD",0.211342526660038
2013-03-20,"SCB","VFD",0.0656150221998002
2013-03-22,"SCB","VFD",0.0482987808566434
2013-03-26,"SCB","VFD",0.0779127170042236
2013-03-28,"SCB","VFD",0.0625050049414441
2013-04-01,"SCB","GTR & VFD",0.0501140744734432
2013-04-03,"SCB","GTR & VFD",0.087954773007555
2013-04-05,"SCB","GTR & VFD",0.0798553906056964
2013-04-09,"SCB","GTR & VFD",0.103565721729167
2013-04-11,"SCB","GTR & VFD",0.0481380529170309
2013-10-22,"SCB","GTR",0.0669127546251145
2013-10-24,"SCB","GTR",0.103770594350046
2013-10-28,"SCB","VFD",0.0598714248531651
2013-11-01,"SCB","VFD",0.0658141026113054
2013-11-05,"SCB","VFD",0.065759371841804
2013-11-07,"SCB","VFD",0.114051111610005
